case_number,court,chamber,debtor_name,debtor_cnpj,filing_date,stage,administrator_name,administrator_cnpj,source_url,extracted_at,extracted_by
0044747-14.2024.8.16.0021,TJPR,CURITIBA - 1ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,Marques Administrações Judiciais,,2024-11-01,ACTIVE,marquesadmjudicial.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpr/_search,2026-09-03T22:42:49Z,datajud-loader
0065015-78.2020.8.17.2001,TJPE,18ª VARA CÍVEL DA CAPITAL - SEÇÃO B,apresentado por COMERCIA,,2020-10-13,ACTIVE,recuperacaojudicial.squarespace.com,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpe/_search,2026-09-03T22:42:10Z,datajud-loader
0068535-07.2024.8.17.2001,TJPE,29ª VARA CÍVEL DA CAPITAL - SEÇÃO A,BRN SOLUCOES EM TECNOLOGIA LTDA,,2024-07-02,ACTIVE,recuperasolucoes.com,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpe/_search,2026-09-03T22:42:10Z,datajud-loader
0074500-63.2024.8.17.2001,TJPE,10ª VARA CÍVEL DA CAPITAL - SEÇÃO B,GRUPO IMOBI – LRF Líderes em Recuperação Judicial e Falência,,2024-07-18,ACTIVE,lrflideres.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpe/_search,2026-09-03T22:42:10Z,datajud-loader
0075105-48.2020.8.17.2001,TJPE,15ª VARA CÍVEL DA CAPITAL - SEÇÃO B,"e sua posterior aprovação, mesmo em caso de discordância",,2020-11-23,ACTIVE,lrflideres.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpe/_search,2026-09-03T22:42:10Z,datajud-loader
0077403-37.2025.8.17.2001,TJPE,4ª VARA CÍVEL DA CAPITAL - SEÇÃO A,E FALENCIA,,2025-09-10,ACTIVE,diligence.adm.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpe/_search,2026-09-03T22:42:10Z,datajud-loader
0085817-92.2023.8.17.2001,TJPE,29ª VARA CÍVEL DA CAPITAL - SEÇÃO B,BORGES E FIGUEIREDO SERVIÇOS DE ENGENHARIA LTDA,,2023-08-02,ACTIVE,recuperasolucoes.com,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpe/_search,2026-09-03T22:42:10Z,datajud-loader
0086662-30.2025.8.16.0014,TJPR,CURITIBA - 1ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,GRUPO SANVIG | Administração Judicial - Credibilità,,2025-12-09,ACTIVE,credibilita.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpr/_search,2026-09-03T22:42:49Z,datajud-loader
0108923-15.2025.8.17.2001,TJPE,2ª VARA CÍVEL DA CAPITAL - SEÇÃO A,ASA RENT A CAR LOCACAO DE VEICULOS LTDA – Diligence Administração em Recuperação Judicial e Falência,,2025-12-12,ACTIVE,diligence.adm.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpe/_search,2026-09-03T22:42:10Z,datajud-loader
0133628-14.2024.8.17.2001,TJPE,20ª VARA CÍVEL DA CAPITAL - SEÇÃO B,CEAM - Recupera Soluções Empresariais,,2024-11-21,ACTIVE,recuperasolucoes.com,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpe/_search,2026-09-03T22:42:10Z,datajud-loader
0137354-93.2024.8.17.2001,TJPE,28ª VARA CÍVEL DA CAPITAL - SEÇÃO B,PCG – ENGENHARIA E PCG - TECNOLOGIA (GRUPO PROCENGE) - Vivante Gestão e Administração Judicial,,2024-12-02,ACTIVE,vivanteaj.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpe/_search,2026-09-03T22:42:10Z,datajud-loader
0160454-48.2022.8.17.2001,TJPE,26ª VARA CÍVEL DA CAPITAL - SEÇÃO A,GRUPO ALFA – Diligence Administração em Recuperação Judicial e Falência,,2022-11-17,ACTIVE,diligence.adm.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpe/_search,2026-09-03T22:42:10Z,datajud-loader
0212099-02.2025.8.06.0001,TJCE,"1ª VARA EMPRESARIAL, DE RECUPERAÇAO DE EMPRESAS E DE FALENCIAS DO ESTADO DO CEARA",ARENA COMBUSTÍVEIS LTDA,,2025-04-01,ACTIVE,lrflideres.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjce/_search,2026-09-03T22:39:38Z,datajud-loader
0214287-36.2023.8.06.0001,TJCE,"2ª VARA EMPRESARIAL, DE RECUPERAÇAO DE EMPRESAS E DE FALENCIAS DO ESTADO DO CEARA",Assunto Concurso de Credores Requerente Pminas Brasil Construção Civil e Serviços Ltda,,2023-03-08,CLOSED,bugarimecoelho.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjce/_search,2026-09-03T22:39:38Z,datajud-loader
0260100-52.2024.8.06.0001,TJCE,"1ª VARA EMPRESARIAL, DE RECUPERAÇAO DE EMPRESAS E DE FALENCIAS DO ESTADO DO CEARA",,,2024-08-13,ACTIVE,s.cholet.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjce/_search,2026-09-03T22:39:38Z,datajud-loader
0270804-61.2023.8.06.0001,TJCE,"2ª VARA EMPRESARIAL, DE RECUPERAÇAO DE EMPRESAS E DE FALENCIAS DO ESTADO DO CEARA",- RITA FARIAS MARTINS & CIA,,2023-10-20,ACTIVE,bugarimecoelho.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjce/_search,2026-09-03T22:39:38Z,datajud-loader
0276159-86.2022.8.06.0001,TJCE,"2ª VARA EMPRESARIAL, DE RECUPERAÇAO DE EMPRESAS E DE FALENCIAS DO ESTADO DO CEARA",PÃ¡gina inicial,,2022-09-28,ACTIVE,bugarimecoelho.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjce/_search,2026-09-03T22:39:38Z,datajud-loader
0700087-51.2020.8.02.0043,TJAL,Foro de Delmiro Gouveia - 2º Vara de Delmiro Gouveia / Entorpecentes,empresa,,2020-01-31,ACTIVE,recuperacaojudicial.squarespace.com,,https://api-publica.datajud.cnj.jus.br/api_publica_tjal/_search,2026-09-03T22:39:08Z,datajud-loader
0700707-87.2025.8.02.0043,TJAL,Foro de Delmiro Gouveia - 1º Vara de Delmiro Gouveia / Infância e Juventude,GRUPO PISEBEM — Lindoso e Araujo,,2025-05-08,ACTIVE,recuperacaojudicial.squarespace.com,,https://api-publica.datajud.cnj.jus.br/api_publica_tjal/_search,2026-09-03T22:39:08Z,datajud-loader
0705602-96.2020.8.02.0001,TJAL,Foro de Maceió - 12ª Vara Cível da Capital,Tecampo e Biocampo. Inicia,,2020-02-21,ACTIVE,recuperacaojudicial.squarespace.com,,https://api-publica.datajud.cnj.jus.br/api_publica_tjal/_search,2026-09-03T22:39:08Z,datajud-loader
0706250-76.2020.8.02.0001,TJAL,Foro de Maceió - 10ª Vara Cível da Capital,,,2020-03-02,ACTIVE,recuperacaojudicial.squarespace.com,,https://api-publica.datajud.cnj.jus.br/api_publica_tjal/_search,2026-09-03T22:39:08Z,datajud-loader
0800778-16.2023.8.20.5104,TJRN,1ª VARA,e Falência,,2023-03-31,ACTIVE,recuperacaojudicial.squarespace.com,,https://api-publica.datajud.cnj.jus.br/api_publica_tjrn/_search,2026-09-03T22:43:52Z,datajud-loader
0800811-68.2020.8.12.0016,TJMS,5ª Vara Cível e Regional de Falências e Recuperações,Crédito de Nayr Confecções Ltda,,2020-05-29,ACTIVE,realbrasil.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjms/_search,2026-09-03T22:41:17Z,datajud-loader
0802656-15.2026.8.18.0031,TJPI,1ª VARA DE PARNAÍBA,,,2026-03-16,ACTIVE,lrflideres.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpi/_search,2026-09-03T22:42:16Z,datajud-loader
0804074-43.2026.8.12.0002,TJMS,5ª Vara Cível e Regional de Falências e Recuperações,SCZ Scalzilli Administração Judicial,,2026-04-07,ACTIVE,scalzilliaj.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjms/_search,2026-09-03T22:41:17Z,datajud-loader
0804204-35.2022.8.15.0731,TJPB,4ª Vara Mista de Cabedelo,SECULAR COMERCIO CONSTRUÇÃO E REPRESENTAÇÃO LTDA,,2022-08-25,ACTIVE,lrflideres.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpb/_search,2026-09-03T22:41:48Z,datajud-loader
0804401-51.2025.8.14.0039,TJPA,2ª VARA CÍVEL E EMPRESARIAL DE PARAGOMINAS,SOJAL COMERCIA,,2025-07-07,ACTIVE,lrflideres.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpa/_search,2026-09-03T22:41:40Z,datajud-loader
0806815-98.2025.8.19.0001,TJRJ,CAPITAL 1 VARA EMPRESARIAL,SOCIEDADES WIDMEN AUTO CENTER LTDA,,2025-01-22,ACTIVE,inova-aj.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjrj/_search,2026-09-03T22:43:04Z,datajud-loader
0807423-41.2024.8.20.5001,TJRN,21ª VARA CÍVEL,e Falência,,2024-02-07,ACTIVE,vivanteaj.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjrn/_search,2026-09-03T22:43:52Z,datajud-loader
0809655-58.2026.8.15.0001,TJPB,Vara de Feitos Especiais de Campina Grande,GRUPO IPP – INDUSTRIA DE PAPEL DA PARAIBA – LRF Líderes em Recuperação Judicial e Falência,,2026-03-16,ACTIVE,lrflideres.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpb/_search,2026-09-03T22:41:48Z,datajud-loader
0810226-31.2023.8.20.5001,TJRN,22ª VARA CÍVEL,GRUPO MADETEX - Vivante Gestão e Administração Judicial,,2023-03-02,ACTIVE,vivanteaj.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjrn/_search,2026-09-03T22:43:52Z,datajud-loader
0813265-83.2024.8.12.0002,TJMS,"Vara Regional de Falências, Recuperação e CP Cíveis","por EDUARDO ARTEIRO MARCONDES, CPF n. 807.390.591-49, EAM AGRICULTURA E PECUÁRIA LTDA",,2024-12-03,ACTIVE,vcpericia.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjms/_search,2026-09-03T22:41:17Z,datajud-loader
0820780-23.2026.8.14.0301,TJPA,12ª VARA CÍVEL E EMPRESARIAL DE BELÉM,e mpresa,,2026-02-12,ACTIVE,cdn.dol.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpa/_search,2026-09-03T22:41:40Z,datajud-loader
0822279-56.2026.8.15.2001,TJPB,Vara de Feitos Especiais da Capital,DIAGSON DIAGNOSTICO EM ULTRA SONOGRAFIA MED FETAL LTDA – EPP – LRF Líderes em Recuperação Judicial e Falência,,2026-03-31,ACTIVE,lrflideres.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpb/_search,2026-09-03T22:41:48Z,datajud-loader
0824037-95.2022.8.15.0001,TJPB,Vara de Feitos Especiais de Campina Grande,em questão. FAZ SA,,2022-09-18,ACTIVE,lrflideres.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpb/_search,2026-09-03T22:41:48Z,datajud-loader
0829315-43.2023.8.15.0001,TJPB,Vara de Feitos Especiais de Campina Grande,,,2023-09-05,ACTIVE,lrflideres.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpb/_search,2026-09-03T22:41:48Z,datajud-loader
0832598-25.2022.8.15.2001,TJPB,Vara de Feitos Especiais da Capital,para as devidas anotações no Registro Público da Empresa,,2022-06-15,ACTIVE,lrflideres.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpb/_search,2026-09-03T22:41:48Z,datajud-loader
0841183-02.2023.8.12.0001,TJMS,"Vara Regional de Falências, Recuperação e CP Cíveis",RINATTA LATICÍNIO LTDA,,2023-07-25,ACTIVE,realbrasil.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjms/_search,2026-09-03T22:41:17Z,datajud-loader
0841699-85.2024.8.12.0001,TJMS,"Vara Regional de Falências, Recuperação e CP Cíveis",Santa Festa Conveniência - Santos Monteiro Comércio e Serviço - Santa Organização de Eventos - Real Brasil Consultoria,,2024-07-17,ACTIVE,realbrasil.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjms/_search,2026-09-03T22:41:17Z,datajud-loader
0843102-61.2020.8.15.2001,TJPB,Vara de Feitos Especiais da Capital,FIBRA CONSTRUTORA E INCORPORADORA LTDA – LRF Líderes em Recuperação Judicial e Falência,,2020-08-28,ACTIVE,lrflideres.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpb/_search,2026-09-03T22:41:48Z,datajud-loader
0862380-60.2022.8.20.5001,TJRN,21ª VARA CÍVEL,EMPRESA,,2022-08-23,ACTIVE,vivanteaj.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjrn/_search,2026-09-03T22:43:52Z,datajud-loader
0871065-72.2024.8.12.0001,TJMS,"Vara Regional de Falências, Recuperação e CP Cíveis",interessa,,2024-12-12,ACTIVE,csh.adv.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjms/_search,2026-09-03T22:41:17Z,datajud-loader
0928454-54.2023.8.19.0001,TJRJ,CAPITAL 3 VARA EMPRESARIAL,Grupo Concal – Processo nº 0928454-54.2023.8.19.0001 – e-mail: admjudconcal@inova-aj.com.br – INOVA,,2023-09-25,ACTIVE,inova-aj.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjrj/_search,2026-09-03T22:43:39Z,datajud-loader
0949160-58.2023.8.19.0001,TJRJ,CAPITAL 3 VARA EMPRESARIAL,Grupo Officilab – Processo nº 0949160-58.2023.8.19.0001 – e-mail: admjudofficilab@inova-aj.com.br – INOVA,,2023-11-09,ACTIVE,inova-aj.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjrj/_search,2026-09-03T22:43:31Z,datajud-loader
1000012-65.2024.8.26.0354,TJSP,01 VARA REGIONAL EMPRESARIAL E DE CONFLITOS DE ARBITRAGEM - 4ª RAJ/ 10ª RAJ,Recuperações Judiciais – Brasil Trustee,,2024-01-31,ACTIVE,brasiltrustee.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjsp/_search,2026-09-03T22:45:28Z,datajud-loader
1000021-46.2023.8.26.0359,TJSP,VARA REGIONAL EMPRESARIAL E DE CONFLITOS DE ARBITRAGEM - 2ª RAJ/ 5ª RAJ/ 8ª RAJ,CLÁUDIA CONFECÇÕES UNIFORMES PROFISSIONAIS LTDA,,2023-12-15,ACTIVE,brasiltrustee.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjsp/_search,2026-09-03T22:45:47Z,datajud-loader
1000040-39.2025.8.26.0373,TJSP,VARA REGIONAL EMPRESARIAL E DE CONFLITOS DE ARBITRAGEM - 3ª RAJ/ 6ª RAJ,EMPRESA,,2025-02-06,ACTIVE,ativosajce.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjsp/_search,2026-09-03T22:45:28Z,datajud-loader
1000117-72.2020.8.26.0260,TJSP,01 VARA REGIONAL EMPRESARIAL E DE CONFLITOS RELACIONADOS À ARBITRAGEM -  - 1ª RAJ/ 7ª RAJ/ 9ª RAJ,promovida por TRANSLOCOMOTIVA TRANSPORTES RODOVIÁRIOS E DISTRIBUIÇÃO DE CARGAS LTDA,,2020-07-24,ACTIVE,ativosajce.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjsp/_search,2026-09-03T22:45:47Z,datajud-loader
1000119-75.2025.8.26.0354,TJSP,01 VARA REGIONAL EMPRESARIAL E DE CONFLITOS DE ARBITRAGEM - 4ª RAJ/ 10ª RAJ,Ativos,,2025-02-25,ACTIVE,ativosajce.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjsp/_search,2026-09-03T22:45:28Z,datajud-loader
1000130-26.2023.8.26.0144,TJSP,VARA UNICA DE CONCHAL,"CITRO SUDESTE INDÚSTRIA, COMÉRCIO E REPRESENTAÇÃO LTDA",,2023-02-06,ACTIVE,brasiltrustee.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjsp/_search,2026-09-03T22:45:28Z,datajud-loader
1000166-31.2025.8.26.0554,TJSP,02 VARA REGIONAL EMPRESARIAL E DE CONFLITOS RELACIONADOS À ARBITRAGEM -  - 1ª RAJ/ 7ª RAJ/ 9ª RAJ,Ativos,,2025-01-07,ACTIVE,ativosajce.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjsp/_search,2026-09-03T22:45:47Z,datajud-loader
1000174-17.2025.8.26.0260,TJSP,02 VARA REGIONAL EMPRESARIAL E DE CONFLITOS RELACIONADOS À ARBITRAGEM -  - 1ª RAJ/ 7ª RAJ/ 9ª RAJ,FOR PET COMÉRCIO ATACADISTA E SERVIÇOS DE ASSISTÊNCIA,,2025-01-22,ACTIVE,ativosajce.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjsp/_search,2026-09-03T22:45:47Z,datajud-loader
1000197-12.2025.8.26.0373,TJSP,VARA REGIONAL EMPRESARIAL E DE CONFLITOS DE ARBITRAGEM - 3ª RAJ/ 6ª RAJ,Ativos,,2025-04-14,ACTIVE,ativosajce.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjsp/_search,2026-09-03T22:45:28Z,datajud-loader
1000278-43.2024.8.26.0260,TJSP,01 VARA REGIONAL EMPRESARIAL E DE CONFLITOS RELACIONADOS À ARBITRAGEM -  - 1ª RAJ/ 7ª RAJ/ 9ª RAJ,ATIVOS ADMINISTRAÇÃO JUDICIA,,2024-03-01,ACTIVE,ativosajce.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjsp/_search,2026-09-03T22:45:47Z,datajud-loader
1000386-43.2022.8.26.0260,TJSP,01 VARA REGIONAL EMPRESARIAL E DE CONFLITOS RELACIONADOS À ARBITRAGEM -  - 1ª RAJ/ 7ª RAJ/ 9ª RAJ,FERRAMENTARIA GASPEC LTDA,,2022-04-12,ACTIVE,ativosajce.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjsp/_search,2026-09-03T22:45:47Z,datajud-loader
1000400-31.2025.8.26.0354,TJSP,01 VARA REGIONAL EMPRESARIAL E DE CONFLITOS DE ARBITRAGEM - 4ª RAJ/ 10ª RAJ,Ativos,,2025-05-28,ACTIVE,ativosajce.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjsp/_search,2026-09-03T22:45:28Z,datajud-loader
1000424-45.2025.8.13.0702,TJMG,10ª Vara Cível da Comarca de Uberlândia,Ubertec Service Usinagem Ltda,,2025-11-12,ACTIVE,scalzilliaj.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjmg/_search,2026-09-03T22:41:03Z,datajud-loader
1000647-12.2025.8.26.0354,TJSP,01 VARA REGIONAL EMPRESARIAL E DE CONFLITOS DE ARBITRAGEM - 4ª RAJ/ 10ª RAJ,MEQSO DISTRIBUIÇÃO S.A,,2025-07-22,ACTIVE,vtladm.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjsp/_search,2026-09-03T22:45:28Z,datajud-loader
1001087-02.2022.8.26.0390,TJSP,VARA UNICA DE NOVA GRANADA,e Falência,,2022-06-08,ACTIVE,brasiltrustee.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjsp/_search,2026-09-03T22:45:28Z,datajud-loader
1001174-80.2024.8.26.0359,TJSP,VARA REGIONAL EMPRESARIAL E DE CONFLITOS DE ARBITRAGEM - 2ª RAJ/ 5ª RAJ/ 8ª RAJ,Ativos,,2024-12-18,ACTIVE,ativosajce.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjsp/_search,2026-09-03T22:45:46Z,datajud-loader
1001190-70.2020.8.26.0069,TJSP,VARA UNICA DE BASTOS,- Concurso de Credores - Ademir Aparecido Ribeiro Doceria - Me,,2020-08-14,ACTIVE,marquesadmjudicial.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjsp/_search,2026-09-03T22:45:28Z,datajud-loader
1001781-65.2025.8.26.0260,TJSP,"01 FALENCIAS, RECUPERACAO JUDICIAL E CONFLITOS RELACIONADOS À ARBITRAGEM DE CENTRAL",FVB Locadora de Veículos e Serviços Ltda,,2025-06-24,ACTIVE,ajruiz.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjsp/_search,2026-09-03T22:45:28Z,datajud-loader
1003322-70.2024.8.26.0260,TJSP,01 VARA REGIONAL EMPRESARIAL E DE CONFLITOS RELACIONADOS À ARBITRAGEM -  - 1ª RAJ/ 7ª RAJ/ 9ª RAJ,AGROSAFRA INDÚSTRIA E COMÉRCIO DE ADUBOS LTDA. e outros - Vivante Gestão e Administração Judicial,,2024-11-08,ACTIVE,vivanteaj.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjsp/_search,2026-09-03T22:45:47Z,datajud-loader
1003919-39.2024.8.26.0260,TJSP,"02 FALENCIAS, RECUPERACAO JUDICIAL E CONFLITOS RELACIONADOS À ARBITRAGEM DE CENTRAL",MFC INDUSTRIA E COMÉRCIO LTDA - Vivante Gestão e Administração Judicial,,2024-12-18,ACTIVE,vivanteaj.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjsp/_search,2026-09-03T22:45:28Z,datajud-loader
1004204-09.2020.8.26.0604,TJSP,03 CIVEL DE SUMARE,EMBRAC EMPRESA,,2020-07-08,ACTIVE,brasiltrustee.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjsp/_search,2026-09-03T22:45:47Z,datajud-loader
1004237-95.2024.8.11.0015,TJMT,Quarta Vara Cível - Comarca de Sinop - SDCR,"seguiu seu trâmite ordinário, com apresentação de Plano de Recuperação Judicia",,2024-02-26,ACTIVE,mpbadmjudicial.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjmt/_search,2026-09-03T22:41:32Z,datajud-loader
1005755-09.2025.8.26.0132,TJSP,VARA REGIONAL EMPRESARIAL E DE CONFLITOS DE ARBITRAGEM - 2ª RAJ/ 5ª RAJ/ 8ª RAJ,Distribuidora de Frutas Rumo Novo Ltda. EPP e outros – VTL,,2025-07-18,ACTIVE,vtladm.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjsp/_search,2026-09-03T22:45:46Z,datajud-loader
1006896-09.2026.8.11.0015,TJMT,Quarta Vara Cível - Comarca de Sinop - SDCR,GRUPO ZANATTA | Administração Judicial - Credibilità,,2026-03-11,ACTIVE,credibilita.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjmt/_search,2026-09-03T22:41:32Z,datajud-loader
1007952-96.2026.8.11.0041,TJMT,Núcleo de Falência e Recuperação Judicial - 1ª Vara Cível - Comarca de  Cuiabá - SDCR - SDCR,E FALÊNCIA,,2026-02-13,ACTIVE,mpbadmjudicial.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjmt/_search,2026-09-03T22:41:32Z,datajud-loader
1009827-02.2024.8.26.0576,TJSP,VARA REGIONAL EMPRESARIAL E DE CONFLITOS DE ARBITRAGEM - 2ª RAJ/ 5ª RAJ/ 8ª RAJ,"Frigorífico Alfa Indústria e Comércio de Carnes e Derivados Ltda.  e Ctx Logística, Transporte E Locações Ltda. – VTL",,2024-03-05,ACTIVE,vtladm.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjsp/_search,2026-09-03T22:45:28Z,datajud-loader
1012325-67.2021.8.26.0482,TJSP,02 CIVEL DE PRESIDENTE PRUDENTE,- Autofalência,,2021-05-21,ACTIVE,brasiltrustee.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjsp/_search,2026-09-03T22:45:28Z,datajud-loader
1018313-46.2024.8.26.0100,TJSP,"01 FALENCIAS, RECUPERACAO JUDICIAL E CONFLITOS RELACIONADOS À ARBITRAGEM DE CENTRAL",JA SANTOS IMPORTAÇÃO E EXPORTAÇÃO DE FERRAMENTAS LTDA. (CONCEPT FERRAMENTAS) - Vivante Gestão e Administração Judicial,,2024-02-08,ACTIVE,vivanteaj.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjsp/_search,2026-09-03T22:45:47Z,datajud-loader
1021191-85.2025.8.11.0015,TJMT,Quarta Vara Cível - Comarca de Sinop - SDCR,SCZ Scalzilli Administração Judicial,,2025-07-21,ACTIVE,scalzilliaj.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjmt/_search,2026-09-03T22:41:32Z,datajud-loader
1025706-74.2024.8.26.0309,TJSP,01 VARA REGIONAL EMPRESARIAL E DE CONFLITOS DE ARBITRAGEM - 4ª RAJ/ 10ª RAJ,Grupo Propel | Administração Judicial - Credibilità,,2024-11-18,ACTIVE,credibilita.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjsp/_search,2026-09-03T22:45:28Z,datajud-loader
1027680-14.2024.8.11.0003,TJMT,Quarta Vara Cível - Comarca de Rondonópolis - SDCR,MPB Administração Judicial,,2024-10-23,CONVERTED_TO_BANKRUPTCY,mpbadmjudicial.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjmt/_search,2026-09-03T22:41:32Z,datajud-loader
1030214-28.2024.8.11.0003,TJMT,Quarta Vara Cível - Comarca de Rondonópolis - SDCR,MPB Administração Judicial,,2024-11-18,CLOSED,mpbadmjudicial.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjmt/_search,2026-09-03T22:41:32Z,datajud-loader
1033803-55.2025.8.11.0015,TJMT,Quarta Vara Cível - Comarca de Sinop - SDCR,MPB Administração Judicial,,2025-12-10,ACTIVE,mpbadmjudicial.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjmt/_search,2026-09-03T22:41:32Z,datajud-loader
1035775-55.2020.8.26.0100,TJSP,"01 FALENCIAS, RECUPERACAO JUDICIAL E CONFLITOS RELACIONADOS À ARBITRAGEM DE CENTRAL",- Administração Judicia,,2020-05-01,ACTIVE,brasiltrustee.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjsp/_search,2026-09-03T22:45:47Z,datajud-loader
1057555-04.2023.8.26.0114,TJSP,01 VARA REGIONAL EMPRESARIAL E DE CONFLITOS DE ARBITRAGEM - 4ª RAJ/ 10ª RAJ,Wws Services Prestadora de Servicos Ltda. – VTL,,2023-12-13,ACTIVE,vtladm.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjsp/_search,2026-09-03T22:45:46Z,datajud-loader
1068760-43.2021.8.26.0100,TJSP,3º VARA DE FALÊNCIA E RECUPERAÇÕES JUDICIAIS,ALCATEIA ENGENHARIA DE SISTEMAS LTDA,,2021-07-01,CLOSED,brasiltrustee.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjsp/_search,2026-09-03T22:45:28Z,datajud-loader
1074600-92.2025.8.11.0041,TJMT,Núcleo de Falência e Recuperação Judicial - 1ª Vara Cível - Comarca de  Cuiabá - SDCR - SDCR,Grupo Vezignazzi - RLG-AJ,,2025-08-04,ACTIVE,rlg-aj.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjmt/_search,2026-09-03T22:41:32Z,datajud-loader
1083995-84.2020.8.26.0100,TJSP,"01 FALENCIAS, RECUPERACAO JUDICIAL E CONFLITOS RELACIONADOS À ARBITRAGEM DE CENTRAL",ALESSA,,2020-09-10,ACTIVE,gatekeeperaj.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjsp/_search,2026-09-03T22:45:28Z,datajud-loader
1111148-53.2024.8.26.0100,TJSP,3º VARA DE FALÊNCIA E RECUPERAÇÕES JUDICIAIS,GRUPO METALLOYS - Vivante Gestão e Administração Judicial,,2024-07-12,ACTIVE,vivanteaj.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjsp/_search,2026-09-03T22:45:47Z,datajud-loader
